 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Test Fixture Nails    1569/9020 Selected Drills           6-Jul-2007 9:48
                       1569 Nails, 2431 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$304       3.075     3.062   1  C3   (B)  #916  K_AD19           V PIN PCI1.92
$305       3.025     3.162   1  C3   (B)  #918  K_AD21           V PIN PCI1.91
$306       2.975     3.262   1  C3   (B)  #919  K_AD22           V PIN PCI1.30
$307       3.025     3.362   1  C3   (B)  #917  K_AD20           V PIN PCI1.31
$308       3.075     3.495   1  C3   (B)  #668  C_48M_USB_SB     V VIA .
$309       3.139     3.626   1  C3   (B)  #1048 P_Q1_10          V VIA .
$310       2.616     3.884   1  C4   (B)  #1610 X_1X16_TXN1_C    V PIN PCIEX16_1.104
$311       2.577     3.963   1  C4   (B)  #1609 X_1X16_TXP1_C    V PIN PCIEX16_1.103
$312       2.498     4.061   1  B4   (B)  #1624 X_1X16_RXN0      V PIN PCIEX16_1.19
$313       2.655     4.061   1  C4   (B)  #1625 X_1X16_RXP1      V PIN PCIEX16_1.23
$314       2.695     4.140   1  C4   (B)  #1626 X_1X16_RXN1      V PIN PCIEX16_1.24
$315       2.537     4.684   1  C4   (B)  #450  X_2X1_DET_B      V PIN PCIEX1_2.38
$316       2.498     4.861   1  B4   (B)  #771  X_2X1_RXN0       V PIN PCIEX1_2.19
$317       2.535     5.078   1  C5   (B)  #429  C_14M_SB         V VIA .
$318       2.268     5.175   1  B5   (B)  #37   +3VDUAL          V PIN PCE600.1
$319       2.380     5.484   1  B5   (B)  #1341 X_1X1_TXP0_C     V PIN PCIEX1_1.34
$320       2.419     5.563   1  B5   (B)  #1340 X_1X1_TXN0_C     V PIN PCIEX1_1.35
$321       2.341     5.661   1  B5   (B)  #92   C_PCIEX1_1       V PIN PCIEX1_1.15
$322       2.380     5.740   2  B5   (B)  #91   C_PCIEX1#_1      V PIN PCIEX1_1.16
$323       2.459     5.740   2  B5   (B)  #774  X_1X1_RXP0       V PIN PCIEX1_1.18
$324       2.011     6.000   1  B5   (B)  #58   U_USB8+_R        V PIN USB910_WFGBT.5
$325       2.011     6.100   1  B5   (B)  #59   U_USB9+_R        V PIN USB910_WFGBT.6
$326       2.310     6.295   1  B6   (B)  #1092 L2_EE_CLK        V VIA .
$327       2.190     6.470   1  B6   (B)  #1081 L2_+1.2VSB_CTRL  V VIA .
$328       2.125     6.740   1  B6   (B)  #1433 L2_RSET          V VIA .
$329       2.205     6.790   1  B6   (B)  #1467 L2_DIS_LAN#      V VIA .
$330       1.985     6.955   1  B6   (B)  #1422 L2_ACTERMINATION0 V VIA .
$331       1.780     7.020   1  B6   (B)  #1416 L2_ACTERMINATION2 V VIA .
$332       1.910     7.025   1  B6   (B)  #1419 L2_ACTERMINATION1 V VIA .
$333       2.169     7.033   1  B6   (B)  #820  L2_XIN           V PIN L2X1.2
$334       2.361     7.033   1  B6   (B)  #819  L2_XOUT          V PIN L2X1.1
$335       2.109     7.270   1  B6   (B)  #1083 +L2_1.8VSB       V PIN L2PCE2.1
$336       1.855     7.420   1  B6   (B)  #1084 L2_+1.8VSB_CTRL  V VIA .
$337       1.980     7.680   1  B7   (B)  #1014 P_VCORE_BSTC_20  V VIA .
$338       2.060     7.725   1  B7   (B)  #630  P_VCORE_PWMC_10  V VIA .
$339       1.475     7.905   1  B7   (B)  #1579 +U_USB23_5V_F    V VIA .
$340       1.650     8.061   1  B7   (B)  #982  P_VCORE_HGMC_20  V VIA .
$341       1.640     8.285   1  B7   (B)  #1384 P_VCORE_S_NC     V VIA .
$342       1.550     8.360   1  B7   (B)  #23   P_VCORE_LGC_20   V VIA .
$343       1.695     8.735   1  B7   (B)  #981  P_VCORE_HGMG_20  V VIA .
$344       1.685     9.030   1  B8   (B)  #1383 P_VCORE_S_NG     V VIA .
$345       1.695     9.505   1  B8   (B)  #985  P_VCORE_HGME_20  V VIA .
$346       1.665     9.785   1  B8   (B)  #1387 P_VCORE_S_NE     V VIA .
$347       1.605    10.250   1  B9   (B)  #986  P_VCORE_HGMA_20  V VIA .
$348       1.705    10.510   1  B9   (B)  #1388 P_VCORE_S_NA     V VIA .
$349       1.575    10.910   1  B9   (B)  #27   P_VCORE_LGA_20   V VIA .
$350       1.812    11.821   1  B10  (B)  #33   +12V_CPU         V PIN EATX12V.8
$351       2.200     7.665   1  B7   (B)  #1108 P_VCORE_VCCC_20  V VIA .
$352       1.970     7.965   1  B7   (B)  #1109 P_VCORE_HGC_20   V VIA .
$353       1.987     8.273   1  B7   (B)  #15   P_VCORE_PHASEC_10 V PIN PL105.1
$354       1.825     8.720   1  B7   (B)  #1107 P_VCORE_HGG_20   V VIA .
$355       2.004     8.856   1  B8   (B)  #22   P_VCORE_LGG_20   V VIA .
$356       2.498     5.661   1  B5   (B)  #773  X_1X1_RXN0       V PIN PCIEX1_1.19
$357       2.774     3.884   1  C4   (B)  #1612 X_1X16_TXN2_C    V PIN PCIEX16_1.108
$358       2.734     3.963   1  C4   (B)  #1611 X_1X16_TXP2_C    V PIN PCIEX16_1.107
$359       2.892     3.963   1  C4   (B)  #1613 X_1X16_TXP3_C    V PIN PCIEX16_1.111
$360       2.813     4.061   1  C4   (B)  #1627 X_1X16_RXP2      V PIN PCIEX16_1.27
$361       2.852     4.140   1  C4   (B)  #1628 X_1X16_RXN2      V PIN PCIEX16_1.28
$362       2.910     4.690   1  C4   (B)  #578  N27110668        V VIA .
$363       2.760     4.835   1  C4   (B)  #660  O_SIO_P84_Q      V VIA .
$364       2.683     5.030   2  C5   (B)  #790  N24105981        V VIA .
$365       2.658     5.095   2  C5   (B)  #100  N33068343        V VIA .
$366       2.613     5.163   2  C5   (B)  #1039 N359642030       V VIA .
$367       2.630     5.245   2  C5   (B)  #786  N40918432        V VIA .
$368       2.537     5.484   1  C5   (B)  #448  X_1X1_DET_B      V PIN PCIEX1_1.38
$369       2.595     6.374   1  C6   (B)  #1082 +L2_1.2VSB       V PIN L2PCE1.1
$370       2.612     6.492   1  C6   (B)  #583  H_BSEL0          V VIA .
$371       2.593     6.983   1  C6   (B)  #723  O_RRX            V VIA .
$372       2.408     7.425   1  B6   (B)  #784  N40902728        V VIA .
$373       2.474     8.511   1  B7   (B)  #34   +VCORE           V PIN PCE110.1
$374       2.235     8.710   1  B7   (B)  #1013 P_VCORE_BSTG_20  V VIA .
$375       2.281     8.891   1  B8   (B)  #1106 P_VCORE_VCCG_20  V VIA .
$376       2.025     9.193   1  B8   (B)  #11   P_VCORE_PHASEG_10 V PIN PL106.1
$377       2.017     9.708   1  B8   (B)  #13   P_VCORE_PHASEE_10 V PIN PL102.1
$378       2.005     9.875   1  B8   (B)  #1115 P_VCORE_HGE_20   V VIA .
$379       2.286     9.939   1  B8   (B)  #1017 P_VCORE_BSTE_20  V VIA .
$380       2.245    10.165   1  B9   (B)  #1114 P_VCORE_VCCE_20  V VIA .
$381       1.997    10.433   1  B9   (B)  #17   P_VCORE_PHASEA_10 V PIN PL101.1
$382       1.950    10.780   1  B9   (B)  #1117 P_VCORE_HGA_20   V VIA .
$383       1.960    10.895   1  B9   (B)  #1116 P_VCORE_VCCA_20  V VIA .
$384       2.195    10.965   1  B9   (B)  #1018 P_VCORE_BSTA_20  V VIA .
$385       3.155     0.210   1  C1   (B)  #1051 N34055049        V VIA .
$386       3.252     0.368   1  C1   (B)  #1577 +U_USB67_5V_F    V VIA .
$387       3.335     0.190   1  C1   (B)  #1055 N33156169        V VIA .
$388       3.725     0.255   1  C1   (B)  #1484 Z_P1_GND         V PIN IE1394_2.10
$389       3.825     0.255   1  D1   (B)  #1674 +Z_1394P1_12V    V PIN IE1394_2.8
$390       3.925     0.255   1  D1   (B)  #1723 Z_TPB1-          V PIN IE1394_2.6
$391       3.925     0.355   1  D1   (B)  #1724 Z_TPB1+          V PIN IE1394_2.5
$392       3.560     0.485   1  C1   (B)  #1336 +Z_12V_F2        V VIA .
$393       3.720     0.490   1  C1   (B)  #1335 +Z_12V_D2        V VIA .
$394       3.475     0.862   1  C1   (B)  #599  K_STOP#          V PIN PCI3.40
$395       3.625     0.962   1  C1   (B)  #47   S_SMBDATA_PCI      PIN PCI3.43
$396       3.425     2.362   1  C2   (B)  #938  K_DEVSEL#        V PIN PCI2.99
$397       3.175     2.462   1  C2   (B)  #913  K_AD16           V PIN PCI2.34
$398       3.375     2.462   1  C2   (B)  #934  K_TRDY#          V PIN PCI2.38
$399       3.359     2.785   1  C3   (B)  #1379 N17192606        V PIN ASAP.5
$400       3.459     2.785   1  C3   (B)  #1378 N17192613        V PIN ASAP.3
$401       3.175     3.062   1  C3   (B)  #914  K_AD17           V PIN PCI1.94
$402       3.225     3.162   1  C3   (B)  #931  K_C/BE#2         V PIN PCI1.95
$403       3.325     3.162   1  C3   (B)  #935  K_IRDY#          V PIN PCI1.97
$404       3.275     3.262   1  C3   (B)  #598  K_FRAME#         V PIN PCI1.36
$405       3.415     3.490   1  C3   (B)  #1044 N35533700        V VIA .
$406       3.525     2.362   1  C2   (B)  #1348 K_LOCK#          V PIN PCI2.101
$407       3.775     2.462   1  D2   (B)  #912  K_AD15           V PIN PCI2.46
$408       3.725     2.562   1  C3   (B)  #933  K_PAR            V PIN PCI2.45
$409       3.575     3.062   1  C3   (B)  #936  K_PERR#          V PIN PCI1.102
$410       3.675     3.062   1  C3   (B)  #937  K_SERR#          V PIN PCI1.104
$411       3.669     3.506   1  C3   (B)  #1076 P_VTTCPU_REF_15  V VIA .
$412       3.535     3.507   1  C3   (B)  #1045 N32430840        V VIA .
$413       3.440     3.620   1  C3   (B)  #1047 P_VTTCPU_Q1_10   V VIA .
$414       3.224     3.650   1  C3   (B)  #1049 P_1.2VGATE_10    V VIA .
$415       2.931     3.884   1  C4   (B)  #1614 X_1X16_TXN3_C    V PIN PCIEX16_1.112
$416       2.970     4.061   1  C4   (B)  #1629 X_1X16_RXP3      V PIN PCIEX16_1.31
$417       3.010     4.140   1  C4   (B)  #1630 X_1X16_RXN3      V PIN PCIEX16_1.32
$418       3.115     4.815   1  C4   (B)  #529  C_PG#            V VIA .
$419       3.167     3.884   1  C4   (B)  #1616 X_1X16_TXN4_C    V PIN PCIEX16_1.118
$420       3.128     3.963   1  C4   (B)  #1615 X_1X16_TXP4_C    V PIN PCIEX16_1.117
$421       3.285     3.963   1  C4   (B)  #1617 X_1X16_TXP5_C    V PIN PCIEX16_1.121
$422       3.207     4.061   1  C4   (B)  #1631 X_1X16_RXP4      V PIN PCIEX16_1.37
$423       3.246     4.140   1  C4   (B)  #1632 X_1X16_RXN4      V PIN PCIEX16_1.38
$424       3.150     4.915   1  C4   (B)  #526  C_48M_SIO_R      V VIA .
$425       3.016     5.025   1  C5   (B)  #524  C_PCI_SL2_R      V VIA .
$426       2.731     5.083   2  C5   (B)  #785  N40918585        V VIA .
$427       2.932     5.162   2  C5   (B)  #430  C_48M_USB        V VIA .
$428       2.960     5.225   2  C5   (B)  #427  C_PCI_ASIC       V VIA .
$429       3.325     3.884   1  C4   (B)  #1618 X_1X16_TXN5_C    V PIN PCIEX16_1.122
$430       3.482     3.884   1  C4   (B)  #1620 X_1X16_TXN6_C    V PIN PCIEX16_1.126
$431       3.443     3.963   1  C4   (B)  #1619 X_1X16_TXP6_C    V PIN PCIEX16_1.125
$432       3.364     4.061   1  C4   (B)  #1633 X_1X16_RXP5      V PIN PCIEX16_1.41
$433       3.404     4.140   1  C4   (B)  #1634 X_1X16_RXN5      V PIN PCIEX16_1.42
$434       3.111     5.120   2  C5   (B)  #527  C_PCI_SB         V VIA .
$435       3.020     5.135   1  C5   (B)  #525  C_PCI_SL3_R      V VIA .
$436       3.090     5.190   2  C5   (B)  #508  C_LPC_SIO_R      V VIA .
$437       3.150     5.230   2  C5   (B)  #509  C_PCICLK_TPM_R   V VIA .
$438       3.595     3.735   1  C3   (B)  #1046 N33150329        V VIA .
$439       3.640     3.884   2  C4   (B)  #1622 X_1X16_TXN7_C    V PIN PCIEX16_1.130
$440       3.600     3.963   1  C4   (B)  #1621 X_1X16_TXP7_C    V PIN PCIEX16_1.129
$441       3.522     4.061   1  C4   (B)  #1635 X_1X16_RXP6      V PIN PCIEX16_1.45
$442       3.561     4.140   1  C4   (B)  #1636 X_1X16_RXN6      V PIN PCIEX16_1.46
$443       3.600     5.020   1  C5   (B)  #520  RLATCH#          V VIA .
$444       3.643     5.103   1  C5   (B)  #519  C_RESET#         V VIA .
$445       3.395     5.180   2  C5   (B)  #514  +3V_CLK_VDDA     V VIA .
$446       3.215     5.205   2  C5   (B)  #510  C_PCI_SL1_R      V VIA .
$447       3.230     5.290   1  C5   (B)  #512  J_OVT1           V VIA .
$448       2.800     5.425   1  C5   (B)  #1327 H_BSEL2          V VIA .
$449       2.699     5.435   1  C5   (B)  #791  C_PCI_SB_R       V VIA .
$450       2.755     5.625   1  C5   (B)  #580  N22691152        V VIA .
$451       2.860     5.565   2  C5   (B)  #101  N33068337        V VIA .
$452       2.865     5.640   2  C5   (B)  #799  N24102512        V VIA .
$453       2.910     5.790   1  C5   (B)  #802  C_PCI_ASIC_R     V VIA .
$454       2.995     5.790   1  C5   (B)  #800  C_48M_USB_R      V VIA .
$455       2.844     5.989   1  C5   (B)  #634  N35399761        V VIA .
$456       2.720     6.000   1  C5   (B)  #1326 H_BSEL1          V VIA .
$457       2.804     7.346   1  C6   (B)  #581  N26142681        V VIA .
$458       2.803     7.433   2  C6   (B)  #588  N26150570        V VIA .
$459       2.865     7.475   2  C6   (B)  #582  N26142732        V VIA .
$460       2.955     7.480   2  C6   (B)  #589  O_RRX_Q          V VIA .
$461       2.905     7.545   2  C7   (B)  #584  N26142803        V VIA .
$462       2.948     7.603   2  C7   (B)  #585  N26142863        V VIA .
$463       2.835     7.755   1  C7   (B)  #1272 H_VCC_PLL        V VIA .
$464       2.795     7.855   2  C7   (B)  #1312 H_CPURST#        V VIA .
$465       2.710    11.250   1  C10  (B)  #980  P_VCORE_HGMD_20  V VIA .
$466       3.041     5.576   1  C5   (B)  #412  C_X1             V PIN CX1.1
$467       3.233     5.576   1  C5   (B)  #413  C_X2             V PIN CX1.2
$468       3.121     5.706   1  C5   (B)  #795  N24102654        V VIA .
$469       3.225     5.775   1  C5   (B)  #794  N24102617        V VIA .
$470       3.665     3.635   1  C3   (B)  #1077 P_VTTCPU_Q2_10   V VIA .
$471       3.718     3.884   2  C4   (B)  #444  X_1X16_DET_B     V PIN PCIEX16_1.132
$472       3.679     4.061   1  C4   (B)  #1637 X_1X16_RXP7      V PIN PCIEX16_1.49
$473       3.718     4.140   1  C4   (B)  #1638 X_1X16_RXN7      V PIN PCIEX16_1.50
$474       3.758     4.955   1  D4   (B)  #521  +3V_CLK          V VIA .
$475       3.345     5.235   2  C5   (B)  #513  C_14M_SB_R       V VIA .
$476       3.435     5.440   1  C5   (B)  #39   C_SMB_DATA_PCI   V VIA .
$477       3.530     5.885   1  C5   (B)  #1022 P_1.25V_VCC_20   V VIA .
$478       3.560     5.965   1  C5   (B)  #641  P_1.25V_OCS_J_20 V VIA .
$479       3.525     6.065   1  C5   (B)  #1023 P_1.25V_BOOT_20  V VIA .
$480       3.400     6.170   1  C5   (B)  #975  P_1.25V_LG_20    V VIA .
$481       3.100     6.579   1  C6   (B)  #1    P_1.25V_REGIN_S  V PIN PCE404.1
$482       3.386     6.762   1  C6   (B)  #36   P_1.25V_PHASE_20 V PIN PL401.1
$483       3.410     7.394   1  C6   (B)  #70   +VTTCPU            PIN PCE802.1
$484       3.243     7.453   1  C6   (B)  #783  N40902862        V VIA .
$485       3.168     7.518   2  C7   (B)  #792  N40902530        V VIA .
$486       3.020     7.570   2  C7   (B)  #586  N26146458        V VIA .
$487       2.865     7.835   2  C7   (B)  #1471 H_ITP_CPURST#    V VIA .
$488       2.950     7.875   2  C7   (B)  #1287 H_TESTHI_0       V VIA .
$489       2.985     7.945   2  C7   (B)  #1270 +H_VCCA          V VIA .
$490       3.190    10.990   1  C9   (B)  #1012 P_VCORE_BSTD_20  V VIA .
$491       3.018    11.213   1  C9   (B)  #14   P_VCORE_PHASED_10 V PIN PL107.1
$492       3.230     7.560   2  C7   (B)  #661  H_BSEL1_R        V VIA .
$493       3.292     7.778   1  C7   (B)  #1308 H_TP_DCKLPH_A24  V VIA .
$494       3.250     8.185   2  C7   (B)  #1273 +H_VCCIOPLL      V VIA .
$495       3.318     8.213   2  C7   (B)  #1271 H_VSSA           V VIA .
$496       3.295     8.795   3  C8   (B)  #551  H_TP_SFRANAD2_E29 V PIN HT41.1
$497       3.315     8.920   2  C8   (B)  #559  H_TP_RSD_E29     V PIN HT29.1
$498       3.270     8.995   1  C8   (B)  #549  H_GTLREF_SEL     V PIN HT43.1
$499       3.615     5.275   1  C5   (B)  #38   C_SMB_CLK_PCI    V VIA .
$500       3.648     5.753   1  C5   (B)  #62   S_+1.25V_OV3#    V VIA .
$501       3.605     5.838   1  C5   (B)  #63   P_1.25V_FB_20    V VIA .
$502       3.685     5.945   1  C5   (B)  #1099 P_1.25V_OCS_20   V VIA .
$503       3.734     6.064   1  C5   (B)  #1098 P_1.25V_UG_20    V VIA .
$504       3.670     6.185   1  C5   (B)  #976  P_1.25V_BOOT_R_20 V VIA .
$505       3.730     6.420   1  C6   (B)  #1381 P_1.25V_RC_S     V VIA .
$506       4.125     0.255   1  D1   (B)  #1725 Z_TPA1-          V PIN IE1394_2.2
$507       4.125     0.355   1  D1   (B)  #1726 Z_TPA1+          V PIN IE1394_2.1
$508       4.325     0.355   1  D1   (B)  #1576 +U_USB89_5V_F    V VIA .
$509       4.425     0.762   1  D1   (B)  #442  K_PCI3_DET_B     V PIN PCI3.117
$510       4.357     1.278   2  D2   (B)  #87   K_PCI3_DET_C     V VIA .
$511       4.185     1.290   1  D2   (B)  #85   K_PCI1_DET_C     V VIA .
$512       4.290     1.317   2  D2   (B)  #86   K_PCI2_DET_C     V VIA .
$513       3.775     2.262   1  D2   (B)  #930  K_C/BE#1         V PIN PCI2.106
$514       3.825     2.362   1  D2   (B)  #911  K_AD14           V PIN PCI2.107
$515       3.875     2.462   1  D2   (B)  #910  K_AD13           V PIN PCI2.48
$516       3.925     2.562   1  D3   (B)  #908  K_AD11           V PIN PCI2.49
$517       4.415     1.315   2  D2   (B)  #78   K_PCI3_DET_R     V VIA .
$518       3.975     2.262   1  D2   (B)  #907  K_AD10           V PIN PCI2.110
$519       4.175     2.262   1  D2   (B)  #905  K_AD8            V PIN PCI2.112
$520       4.225     2.362   1  D2   (B)  #904  K_AD7            V PIN PCI2.113
$521       4.175     2.462   1  D2   (B)  #929  K_C/BE#0         V PIN PCI2.52
$522       4.025     2.562   1  D3   (B)  #906  K_AD9            V PIN PCI2.51
$523       3.925     3.162   1  D3   (B)  #909  K_AD12           V PIN PCI1.109
$524       4.040     3.596   1  D3   (B)  #1123 P_VTTCPU_FB_15   V VIA .
$525       4.160     3.610   2  D3   (B)  #1120 N18411282        V VIA .
$526       4.275     2.462   1  D2   (B)  #903  K_AD6            V PIN PCI2.54
$527       4.325     2.562   1  D3   (B)  #901  K_AD4            V PIN PCI2.55
$528       4.425     2.562   1  D3   (B)  #899  K_AD2            V PIN PCI2.57
$529       4.375     3.062   1  D3   (B)  #900  K_AD3            V PIN PCI1.116
$530       4.325     3.162   1  D3   (B)  #902  K_AD5            V PIN PCI1.115
$531       4.225     3.495   2  D3   (B)  #1122 P_1.05V_REF_15   V VIA .
$532       4.300     3.495   2  D3   (B)  #1121 P_1.05V_FB_15    V VIA .
$533       4.231     3.654   2  D3   (B)  #1119 P_2.1V_REF_15    V VIA .
$534       4.329     3.654   1  D3   (B)  #1118 P_2.1V_FB_15     V VIA .
$535       3.797     3.884   2  D4   (B)  #1639 X_1X16_TXP8_C    V PIN PCIEX16_1.134
$536       3.837     3.963   1  D4   (B)  #1640 X_1X16_TXN8_C    V PIN PCIEX16_1.135
$537       3.915     4.061   1  D4   (B)  #1656 X_1X16_RXN8      V PIN PCIEX16_1.55
$538       3.876     4.140   1  D4   (B)  #1655 X_1X16_RXP8      V PIN PCIEX16_1.54
$539       3.955     3.884   1  D4   (B)  #1641 X_1X16_TXP9_C    V PIN PCIEX16_1.138
$540       3.994     3.963   1  D4   (B)  #1642 X_1X16_TXN9_C    V PIN PCIEX16_1.139
$541       4.073     4.061   1  D4   (B)  #1658 X_1X16_RXN9      V PIN PCIEX16_1.59
$542       4.033     4.140   1  D4   (B)  #1657 X_1X16_RXP9      V PIN PCIEX16_1.58
$543       4.425     2.362   1  D2   (B)  #440  K_PCI2_DET_B     V PIN PCI2.117
$544       4.475     2.462   1  D2   (B)  #897  K_AD0            V PIN PCI2.58
$545       4.575     2.462   1  D2   (B)  #1344 K_REQ64#         V PIN PCI2.60
$546       4.475     3.062   1  D3   (B)  #898  K_AD1            V PIN PCI1.118
$547       4.425     3.162   1  D3   (B)  #438  K_PCI1_DET_B     V PIN PCI1.117
$548       4.380     3.490   2  D3   (B)  #971  P_1.05V_CON_15   V VIA .
$549       4.577     3.685   1  D3   (B)  #1070 P_2.1V_CON_15    V VIA .
$550       4.112     3.884   1  D4   (B)  #1643 X_1X16_TXP10_C   V PIN PCIEX16_1.142
$551       4.152     3.963   1  D4   (B)  #1644 X_1X16_TXN10_C   V PIN PCIEX16_1.143
$552       4.230     4.061   1  D4   (B)  #1660 X_1X16_RXN10     V PIN PCIEX16_1.63
$553       4.191     4.140   1  D4   (B)  #1659 X_1X16_RXP10     V PIN PCIEX16_1.62
$554       4.270     3.884   1  D4   (B)  #1645 X_1X16_TXP11_C   V PIN PCIEX16_1.146
$555       4.309     3.963   1  D4   (B)  #1646 X_1X16_TXN11_C   V PIN PCIEX16_1.147
$556       4.388     4.061   1  D4   (B)  #1662 X_1X16_RXN11     V PIN PCIEX16_1.67
$557       4.348     4.140   1  D4   (B)  #1661 X_1X16_RXP11     V PIN PCIEX16_1.66
$558       4.770     1.241   1  D1   (B)  #879  I2_PDD12_R       V VIA .
$559       4.844     2.131   1  D2   (B)  #1406 Z_TPB1+_C        V VIA .
$560       4.930     2.390   2  D2   (B)  #958  Z_XCPS           V VIA .
$561       4.885     2.444   2  D2   (B)  #960  Z_PC2            V VIA .
$562       4.820     3.205   1  D3   (B)  #707  S_SLPS3#         V VIA .
$563       4.785     3.360   2  D3   (B)  #605  K_GNT_LAN#       V VIA .
$564       4.859     3.395   2  D3   (B)  #613  C_PCI_ASIC_1     V VIA .
$565       5.040     0.243   1  E1   (B)  #1001 U_USB11+_R       V PIN USB1112.6
$566       5.140     0.243   1  E1   (B)  #1000 U_USB11-_R       V PIN USB1112.4
$567       5.240     0.243   1  E1   (B)  #999  +U_USB1011_5V_L  V PIN USB1112.2
$568       5.140     0.343   1  E1   (B)  #1002 U_USB10-_R       V PIN USB1112.3
$569       5.040     0.343   1  E1   (B)  #1003 U_USB10+_R       V PIN USB1112.5
$570       5.465     0.545   1  E1   (B)  #1575 +U_USB1011_5V_F  V VIA .
$571       5.127     0.955   1  E1   (B)  #888  I2_PDIORDY_R     V VIA .
$572       4.943     1.058   1  D1   (B)  #884  I2_DMARQA_R      V VIA .
$573       5.395     1.110   2  E1   (B)  #883  I2_PDIOW#_R      V VIA .
$574       5.585     0.865   1  E1   (B)  #108  +F1_3V           V PIN SPI.1
$575       5.685     0.865   1  E1   (B)  #102  F1_SPI_CS#_Q     V PIN SPI.3
$576       5.685     0.965   1  E1   (B)  #106  F1_SPI_CLK_Q     V PIN SPI.4
$577       5.450     1.055   2  E1   (B)  #103  F1_SPI_MISO_R    V VIA .
$578       5.785     0.865   1  E1   (B)  #1079 F1_SPI_MISO_Q    V PIN SPI.5
$579       5.785     0.965   1  E1   (B)  #105  F1_SPI_MOSI_Q    V PIN SPI.6
$580       5.860     1.225   1  E1   (B)  #1447 A_Z_SDIN0        V VIA .
$581       5.968     0.245   1  E1   (B)  #1007 U_USB7+_R        V PIN USB78.6
$582       6.068     0.245   1  E1   (B)  #1006 U_USB7-_R        V PIN USB78.4
$583       6.168     0.245   1  E1   (B)  #1005 +U_USB67_5V_L    V PIN USB78.2
$584       6.068     0.345   1  E1   (B)  #1008 U_USB6-_R        V PIN USB78.3
$585       5.968     0.345   1  E1   (B)  #1009 U_USB6+_R        V PIN USB78.5
$586       5.885     0.865   1  E1   (B)  #107  F1_SPI_HOLD#     V PIN SPI.7
$587       5.975     1.245   1  E1   (B)  #411  F1_SPI_CLK       V VIA .
$588       6.015     1.495   1  E2   (B)  #104  O_BIOS_WP#_Q     V VIA .
$589       5.750     1.915   1  E2   (B)  #680  N_REF_OV         V VIA .
$590       5.600     2.008   1  E2   (B)  #823  Z_XOUT_R         V PIN ZX1.1
$591       5.408     2.008   1  E2   (B)  #824  Z_XIN            V PIN ZX1.2
$592       5.020     2.075   1  E2   (B)  #952  Z_TPBIAS1        V VIA .
$593       5.085     2.145   1  E2   (B)  #1833 U_USBOC#45       V VIA .
$594       5.015     2.465   1  E2   (B)  #600  K_REQ#3          V VIA .
$595       5.190     2.755   1  E3   (B)  #601  K_GNT#3          V VIA .
$596       5.215     2.080   2  E2   (B)  #1407 Z_TPB0+_C        V VIA .
$597       5.290     2.085   2  E2   (B)  #947  Z_TPBIAS0        V VIA .
$598       5.388     2.272   1  E2   (B)  #955  +Z_3VA           V VIA .
$599       5.380     2.400   1  E2   (B)  #954  Z_CURRSET1       V VIA .
$600       5.305     2.440   1  E2   (B)  #953  Z_CURRSET0       V VIA .
$601       5.555     2.215   1  E2   (B)  #957  Z_XOUT           V VIA .
$602       5.465     2.345   1  E2   (B)  #956  Z_XREST          V VIA .
$603       5.800     2.270   1  E2   (B)  #959  Z_TEST2          V VIA .
$604       5.890     2.275   1  E2   (B)  #941  Z_SDA            V VIA .
$605       6.060     1.240   1  E1   (B)  #409  F1_SPI_MOSI      V VIA .
$606       6.065     1.925   1  E2   (B)  #99   C_CLK_SMB_CONTROL V VIA .
$607       6.020     2.110   1  E2   (B)  #602  K_REQ_1394#      V VIA .
$608       5.935     2.145   1  E2   (B)  #942  Z_SCL            V VIA .
$609       5.990     2.330   1  E2   (B)  #603  K_GNT_1394#      V VIA .
$610       5.818     2.450   1  E2   (B)  #940  K_PME#_R         V VIA .
$611       6.065     2.480   1  E2   (B)  #597  N357402040       V VIA .
$612       5.783     2.838   1  E3   (B)  #577  +BAT_3V          V PIN CLRTC.1
$613       5.475     2.840   1  E3   (B)  #1835 C_PCI_SB_1       V VIA .
$614       5.260     3.185   1  E3   (B)  #606  N21688422        V VIA .
$615       4.865     3.325   2  D3   (B)  #604  K_REQ_LAN#       V VIA .
$616       4.965     3.590   1  D3   (B)  #611  C_ASIC_PCICOMP   V VIA .
$617       5.070     3.592   2  E3   (B)  #610  C_PCI_1394_R     V VIA .
$618       5.135     3.615   2  E3   (B)  #609  ICH_LAN_JCLK_R   V VIA .
$619       4.995     3.690   1  D3   (B)  #674  N21706446        V VIA .
$620       5.131     3.720   2  E3   (B)  #607  N21688425        V VIA .
$621       5.200     3.765   2  E4   (B)  #1535 ICH_LAN_JCLK     V VIA .
$622       4.427     3.884   1  D4   (B)  #1647 X_1X16_TXP12_C   V PIN PCIEX16_1.150
$623       4.467     3.963   1  D4   (B)  #1648 X_1X16_TXN12_C   V PIN PCIEX16_1.151
$624       4.545     4.061   1  D4   (B)  #1664 X_1X16_RXN12     V PIN PCIEX16_1.71
$625       4.506     4.140   1  D4   (B)  #1663 X_1X16_RXP12     V PIN PCIEX16_1.70
$626       4.585     3.884   1  D4   (B)  #1649 X_1X16_TXP13_C   V PIN PCIEX16_1.154
$627       4.624     3.963   1  D4   (B)  #1650 X_1X16_TXN13_C   V PIN PCIEX16_1.155
