 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Test Fixture Nails    1569/9020 Selected Drills           6-Jul-2007 9:48
                       1569 Nails, 2431 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$74        1.030     2.334   1  A2   (B)  #1570 A_LINE2_R_C        PIN ACE10.1
$75        0.735     2.339   1  A2   (B)  #1091 +3VA             V PIN APCE1.1
$76        0.575     2.780   1  A3   (B)  #1690 A_MIC2_L_L       V VIA .
$77        0.698     2.841   1  A3   (B)  #833  A_CD_R_R         V PIN CD.4
$78        0.798     2.841   1  A3   (B)  #832  A_CD_GND_R       V PIN CD.3
$79        0.998     2.841   1  A3   (B)  #831  A_CD_L_R         V PIN CD.1
$80        0.640     3.115   1  A3   (B)  #1545 A_DVCORE         V VIA .
$81        0.645     3.324   1  A3   (B)  #1448 A_Z_SDIN0_R1     V VIA .
$82        0.425     3.515   2  A3   (B)  #1555 A_CD_GND         V VIA .
$83        0.465     3.575   2  A3   (B)  #1551 A_MIC1_R_C       V VIA .
$84        0.445     3.670   2  A3   (B)  #1729 A_CD_L_C         V VIA .
$85        0.500     3.725   2  A3   (B)  #1564 A_BIAS_MIC1      V VIA .
$86        0.490     3.825   1  A4   (B)  #1680 A_SURB_R_L       V VIA .
$87        0.790     3.300   1  A3   (B)  #1549 A_PCBEEP_C       V VIA .
$88        0.945     3.315   1  A3   (B)  #1431 A_PCBEEP_R       V VIA .
$89        0.777     3.530   1  A3   (B)  #1567 A_LOUT_R_C         PIN ACE2.1
$90        0.600     3.550   1  A3   (B)  #1550 A_MIC1_L_C       V VIA .
$91        0.565     3.685   2  A3   (B)  #1683 A_MIC1_L_L       V VIA .
$92        0.780     3.758   1  A4   (B)  #1552 A_SURB_L_C         PIN ACE3.1
$93        0.691     3.939   1  A4   (B)  #1553 A_SURB_R_C         PIN ACE4.1
$94        0.937     3.984   1  A4   (B)  #1557 A_MIC2_L_C       V PIN ACE11.1
$95        0.739     4.200   1  A4   (B)  #1088 +L1_1.8VSB/2.5VSB V PIN L1PCE2.1
$96        0.575     4.270   1  A4   (B)  #1390 +L1_1.5VSB_L2_2.5VSB V VIA .
$97        0.430     4.450   1  A4   (B)  #1087 L1_+1.8VSB/+2.5VSB_CTRL V VIA .
$98        0.390     4.680   1  A4   (B)  #1497 +L1_3VSB_L2_2.5VSB V VIA .
$99        0.350     4.761   2  A4   (B)  #1468 L1_ISOLATE#      V VIA .
$100       0.280     4.805   2  A4   (B)  #1496 +L1_1.8VSB_L2_3VSB V VIA .
$101       0.520     5.110   1  A5   (B)  #1495 +L1_AVDD15/NC    V VIA .
$102       0.709     5.201   1  A5   (B)  #1443 L1_LED3          V VIA .
$103       0.750     5.574   1  A5   (B)  #821  L1_XIN           V PIN L1X1.1
$104       0.750     5.766   1  A5   (B)  #822  L1_XOUT          V PIN L1X1.2
$105       0.830     6.085   1  A5   (B)  #1085 L1_+1.5VSB/NC_CTRL V VIA .
$106       0.725     6.280   1  A6   (B)  #1696 A_LINE_L_L       V VIA .
$107       0.454     6.481   1  A6   (B)  #1585 A_LOUT_L         V PIN AUDIO.6
$108       0.454     6.580   1  A6   (B)  #1410 A_JD_LOUT        V PIN AUDIO.7
$109       0.454     6.776   1  A6   (B)  #1586 A_LOUT_R         V PIN AUDIO.9
$110       0.454     6.954   1  A6   (B)  #1591 A_SURB_L         V PIN AUDIO.19
$111       0.454     7.052   1  A6   (B)  #1453 A_JD_SURB        V PIN AUDIO.20
$112       0.454     7.249   1  A6   (B)  #1592 A_SURB_R         V PIN AUDIO.22
$113       0.552     7.339   1  A6   (B)  #1582 A_CGND           V PIN AUDIO.28
$114       0.474     7.818   2  A7   (B)  #998  U_USB1+_R        V PIN LAN1_USB12.4
$115       0.474     7.897   2  A7   (B)  #997  U_USB1-_R        V PIN LAN1_USB12.6
$116       0.474     7.995   1  A7   (B)  #996  +U_USB01_5V_L    V PIN LAN1_USB12.8
$117       0.471     8.687   3  A7   (B)  #816  T1_SATA_TXP0     V PIN F_ESATA12.2
$118       0.353     8.687   3  A7   (B)  #815  T1_SATA_TXP1     V PIN F_ESATA12.9
$119       0.353     8.737   3  A7   (B)  #813  T1_SATA_TXN1     V PIN F_ESATA12.10
$120       0.353     8.837   3  A8   (B)  #811  T1_SATA_RXN1     V PIN F_ESATA12.12
$121       0.353     8.887   3  A8   (B)  #809  T1_SATA_RXP1     V PIN F_ESATA12.13
$122       0.293    10.667   1  A9   (B)  #1435 A_SPDIFO           PIN SPDIF_O12.3
$123       0.447    11.391   2  A10  (B)  #123  U_USB5+_R        V PIN KB_USB56.6
$124       0.447    11.470   2  A10  (B)  #119  U_USB5-_R        V PIN KB_USB56.7
$125       0.447    11.568   1  A10  (B)  #117  +U_USB45_5V_L    V PIN KB_USB56.8
$126       0.925     4.350   1  A4   (B)  #1391 +L1_3VSB_L       V VIA .
$127       0.925     5.095   1  A5   (B)  #1097 L1_EEDO          V VIA .
$128       0.985     5.195   1  A5   (B)  #1094 L1_EECS          V VIA .
$129       0.880     5.525   1  A5   (B)  #1095 L1_EESK          V VIA .
$130       1.020     2.531   1  A3   (B)  #1403 A_LINE2_L_R      V PIN ACE9.2
$131       1.015     3.702   1  A3   (B)  #1558 A_MIC2_R_C         PIN ACE12.1
$132       1.135     5.550   1  A5   (B)  #1096 L1_EEDI          V VIA .
$133       1.025     5.744   1  A5   (B)  #1086 +L1_1.5VSB/NC    V PIN L1PCE1.1
$134       0.651     6.481   1  A6   (B)  #1583 A_LINE_L         V PIN AUDIO.10
$135       0.651     6.580   1  A6   (B)  #1474 A_JD_LINE1       V PIN AUDIO.11
$136       0.651     6.776   1  A6   (B)  #1584 A_LINE_R         V PIN AUDIO.13
$137       0.651     6.954   1  A6   (B)  #1589 A_CEN            V PIN AUDIO.23
$138       0.651     7.052   1  A6   (B)  #1475 A_JD_CNL         V PIN AUDIO.24
$139       0.651     7.249   1  A6   (B)  #1590 A_LFE            V PIN AUDIO.26
$140       0.767     7.632   1  A7   (B)  #1494 L1_CTR           V PIN LAN1_USB12.9
$141       0.767     7.732   1  A7   (B)  #1427 L1_MDI_0-        V PIN LAN1_USB12.11
$142       0.577     7.818   2  A7   (B)  #1010 U_USB0+_R        V PIN LAN1_USB12.3
$143       0.577     7.897   2  A7   (B)  #1004 U_USB0-_R        V PIN LAN1_USB12.5
$144       0.585     8.689   2  A7   (B)  #804  Z_TPA0+          V PIN F_ESATA12.15
$145       0.471     8.737   3  A7   (B)  #814  T1_SATA_TXN0     V PIN F_ESATA12.3
$146       0.471     8.837   3  A8   (B)  #812  T1_SATA_RXN0     V PIN F_ESATA12.5
$147       0.471     8.887   3  A8   (B)  #810  T1_SATA_RXP0     V PIN F_ESATA12.6
$148       0.522     9.150   1  A8   (B)  #808  Z_P0_GND         V PIN F_ESATA12.24
$149       0.474     9.676   2  A8   (B)  #993  U_USB3+_R        V PIN LAN2_USB34.4
$150       0.474     9.754   2  A8   (B)  #992  U_USB3-_R        V PIN LAN2_USB34.6
$151       0.474     9.853   1  A8   (B)  #991  +U_USB23_5V_L    V PIN LAN2_USB34.8
$152       0.510    10.567   1  A9   (B)  #1671 A_SPDIFO_L       V PIN SPDIF_O12.8
$153       0.855     6.485   1  A6   (B)  #1686 A_LINE_R_L       V VIA .
$154       0.868     6.613   1  A6   (B)  #1682 A_MIC1_R_L       V VIA .
$155       0.815     6.685   1  A6   (B)  #1694 A_SUR_L_L        V VIA .
$156       0.885     6.905   2  A6   (B)  #1681 A_SURB_L_L       V VIA .
$157       0.885     6.975   2  A6   (B)  #1679 A_CEN_L          V VIA .
$158       0.835     7.105   1  A6   (B)  #1693 A_SUR_R_L        V VIA .
$159       0.890     7.205   1  A6   (B)  #1695 A_LFE_L          V VIA .
$160       0.978     7.574   1  A7   (B)  #1536 L1_LINK100#      V PIN LAN1_USB12.19
$161       0.978     7.674   1  A7   (B)  #1442 L1_LINK1000#     V PIN LAN1_USB12.20
$162       0.867     7.682   1  A7   (B)  #1425 L1_MDI_0+        V PIN LAN1_USB12.10
$163       0.867     7.782   1  A7   (B)  #1428 L1_MDI_1+        V PIN LAN1_USB12.12
$164       0.767     7.832   1  A7   (B)  #1430 L1_MDI_1-        V PIN LAN1_USB12.13
$165       0.767     7.932   1  A7   (B)  #1532 L1_MDI_2-        V PIN LAN1_USB12.15
$166       0.767     8.032   1  A7   (B)  #1534 L1_MDI_3-        V PIN LAN1_USB12.17
$167       0.664     8.728   2  A7   (B)  #807  Z_TPA0-          V PIN F_ESATA12.18
$168       0.585     8.768   2  A8   (B)  #803  Z_TPB0+          V PIN F_ESATA12.16
$169       0.664     8.807   2  A8   (B)  #806  Z_TPB0-          V PIN F_ESATA12.19
$170       0.664     8.886   2  A8   (B)  #805  +Z_1394P0_12V    V PIN F_ESATA12.20
$171       0.767     9.490   1  A8   (B)  #1492 L2_CTR           V PIN LAN2_USB34.9
